""
Front view
Developer,Apple Inc.
Manufacturer,Foxconn ( contract manufacturer ) &#91; 1 &#93;
Type,Smartphone
Series,iPhone
First released,"June&#160;29,&#160;2007 &#160;( 2007-06-29 )"
Discontinued,"July&#160;15,&#160;2008 &#160;( 2008-07-15 )"
Units sold,"6,124,000"
Predecessor,iPod Motorola Rokr E1
Successor,iPhone 3G
Related,"iPad , iPod Touch ( comparison )"
Form factor,Slate
Dimensions,115&#160;×&#160;61&#160;×&#160;11.6&#160;mm (4.53&#160;×&#160;2.40&#160;×&#160;0.46&#160;in)
Weight,135&#160;g (4.8&#160;oz)
Operating system,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0} Original: iPhone OS 1.0 Last: iPhone OS 3.1.3 Released February&#160;2, 2010 &#59;&#32;15 years ago &#160;( 2010-02-02 )"
Memory,128&#160; MB eDRAM &#91; 2 &#93;
Storage,"4, 8, or 16&#160; GB flash memory"
SIM,Mini SIM
Battery,3.7&#160; V 1400&#160; mAh Lithium-ion battery &#91; 3 &#93;
Charging,30-pin Apple proprietary charging.
Rear camera,2.0&#160; MP with geotagging (not GPS -based)
Front camera,None
Display,".mw-parser-output .frac{white-space:nowrap}.mw-parser-output .frac .num,.mw-parser-output .frac .den{font-size:80%;line-height:0;vertical-align:super}.mw-parser-output .frac .den{vertical-align:sub}.mw-parser-output .sr-only{border:0;clip:rect(0,0,0,0);clip-path:polygon(0px 0px,0px 0px,0px 0px);height:1px;margin:-1px;overflow:hidden;padding:0;position:absolute;width:1px} 90&#160;mm ( 3 + 1 &#8260; 2 &#160;in) screen (diagonally) 480x320&#160; pixel resolution at 163&#160; ppi 3:2 aspect ratio 18-bit (262,144 colors) LCD 60 Hz refresh rate"
Sound,"Single loudspeaker TRRS headphone jack , 20&#160;Hz to 20&#160;kHz frequency response (internal, headset) Microphone"
Connectivity,"Quad-band GSM / GPRS / EDGE ( 850, 900, 1800, 1900 &#160; MHz ) Wi-Fi ( 802.11 b / g ) Bluetooth 2.0 USB 2.0 /proprietary 30-pin dock connector &#91; 4 &#93;"
Data inputs,Multi-touch touchscreen display 3-axis accelerometer Proximity sensor Ambient light sensor Microphone Headset controls
Website,"Apple – iPhone at the Wayback Machine &#32;(archived June 29, 2007)"
"
"
This article is part of a series on the
iPhone
1st generation 3G 3GS 4 4s 5 5c 5s 6 / 6 Plus 6s / 6s Plus 7 / 7 Plus 8 / 8 Plus X XR XS / XS Max 11 11 Pro / 11 Pro Max 12 / 12 Mini 12 Pro / 12 Pro Max 13 / 13 Mini 13 Pro / 13 Pro Max 14 / 14 Plus 14 Pro / 14 Pro Max 15 / 15 Plus 15 Pro / 15 Pro Max 16 / 16 Plus 16 Pro / 16 Pro Max 16e 17 17 Pro / 17 Pro Max Air SE 1st 2nd 3rd
List of iPhone models Telephones&#32;portal
"
"
New creation,iPhone 1st generation,Succeeded&#160;by iPhone 3G
"
"
1st 2nd 3rd 4th 5th 6th 7th
"
"
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 26
Derived from iOS,watchOS tvOS iPadOS 13 14 15 16 17 18 26
"
"
AirDrop AirPlay AirPrint CarPlay Control Center Crash Detection iTunes Night Shift Notification Center Shazam Siri Spotlight SpringBoard VoiceOver
"
"
SDK Foundation UIKit Core Animation HomeKit Inter-App Audio Liquid Glass WebKit GymKit HealthKit SwiftUI
"
"
Books Calculator Calendar Clock Contacts FaceTime Freeform Files Find My Fitness Workouts Games Health Mindfulness Home Journal Mail Maps Measure Messages Music News Notes Passwords Photos Podcasts Preview Reminders Safari Shortcuts Stocks Translate TV Voice Memos Wallet Weather Watch
Discontinued,Newsstand
"
"
Classroom Clips GarageBand iMovie iWork Keynote Numbers Pages Invites
Discontinued,Beats Music iPhoto Nike+iPod iTunes Remote
"
"
Arcade Card App Store Music FaceTime Family Sharing Game Center iCloud iMessage iTunes Connect iTunes Store News + One Pay Push Notifications TestFlight TV+ Wallet
Discontinued,iAd iLife iTunes Radio MobileMe
"
"
Desktops,eMac iMac G3 G4 G5 Intel-based iMac Pro Apple silicon Mac Mini Mac Pro Mac Studio Power Mac G3 G4 G4 Cube G5 Xserve
Laptops,iBook MacBook (2006–2012) 12-inch MacBook (2015–2019) MacBook Air Intel-based Apple silicon MacBook Pro Intel-based Apple silicon PowerBook G3 G4
"
"
Mac,iMac Pro MacBook Air Pro Mini Studio Pro Mac models grouped by CPU type
iPod,Classic Mini Nano Shuffle Touch
iPhone,Hardware History iPhone models
iPad,Mini Air Pro Accessories iPad models
AirPods,Pro Max
Other,Apple SIM AirTag Beats Pill HomePod Mini Silicon TV Vision Pro Watch
"
"
Operating systems,iOS / iPadOS iOS history iPadOS history Apps macOS History Server Apps tvOS watchOS bridgeOS Darwin Classic Mac OS visionOS
CarPlay Classroom HomeKit Core Foundation Developer Tools FileMaker Final Cut Pro X Compressor Motion Logic Pro MainStage iLife GarageBand iMovie iPhoto iTunes iWork Keynote Numbers Pages Mail QuickTime Safari SceneKit Shazam Siri Swift Xcode
"
"
Financial,Card Pay Wallet
Media,Arcade Books Music 1 Beats Music Up Next Festival iTunes Radio App News Newsstand Podcasts TV + originals MLS Season Pass
Communication,FaceTime Walkie-Talkie iMessage iChat App Invites Game Center
Retail and digital sales,App Store macOS iTunes Store Connect Store Fifth Avenue Michigan Avenue Pioneer Place Tower Theatre
Support,AppleCare+ AASP Certifications Genius Bar ProCare One to One
Other,Apple Account (formerly Apple ID ) Sign in with Apple One Developer iAd TestFlight WWDC iCloud MobileMe Find My Fitness Photos Maps Detailed City Experience Flyover Look Around
"
"
Subsidiaries,Anobit Apple IMC Apple Studios Beats Beddit Braeburn Capital Claris
Acquisitions,Anobit AuthenTec Beats Beddit BIS Records Cue EditGrid Emagic FingerWorks Intrinsity InVisage Technologies The Keyboard Company Lala Metaio NeXT Nothing Real P.A. Semi Power Computing PrimeSense Shazam Entertainment Limited Siri Texture Topsy
Partnerships,AIM alliance Kaleida Labs Taligent Akamai Arm DiDi Digital Ocean iFund Imagination Rockstar Consortium
"
"
Current,Tim Cook (CEO) Sabih Khan (COO) Kevan Parekh (CFO) Eddy Cue Craig Federighi Isabel Ge Mahe John Giannandrea Lisa Jackson Greg Joswiak Luca Maestri Deirdre O'Brien Dan Riccio Phil Schiller Johny Srouji John Ternus
